"","file","Specificity"
"1","file1",0.0959814975426424
"2","file2",0.079032495221291
"3","file3",0.0914475138121547
"4","file4",0.0905774111675127
"5","file5",0.0869808951475469
"6","file6",0.0947348267279341
"7","file7",0.0951342867108476
"8","file8",0.0901691815272062
"9","file9",0.10354000409249
"10","file10",0.0664921105216013
"11","file11",0.119074903635795
"12","file12",0.140193920089934
"13","file13",0.0923896406049103
"14","file14",0.113401755168823
"15","file15",0.11979810975308
"16","file16",0.104694616372767
"17","file17",0.089501051001217
"18","file18",0.0994715912186087
"19","file19",0.0731872983528613
"20","file20",0.123879258816497
"21","file21",0.107683031003467
"22","file22",0.117212626563431
"23","file23",0.118667753580995
"24","file24",0.111121289849762
"25","file25",0.087406730622811
"26","file26",0.0994261623140883
"27","file27",0.0740206464409683
"28","file28",0.0722097627156187
"29","file29",0.0642850826775135
"30","file30",0.0847246737463468
"31","file31",0.0838025055268976
"32","file32",0.0890773405698779
"33","file33",0.109617459132022
"34","file34",0.0850084766287237
"35","file35",0.101251676352257
"36","file36",0.105830886318691
"37","file37",0.112987101850902
"38","file38",0.0903229455347548
"39","file39",0.117386860284788
"40","file40",0.0996484792908452
"41","file41",0.103386342376052
"42","file42",0.0989648923426606
"43","file43",0.0911715996432969
"44","file44",0.0927179487179487
"45","file45",0.0927942429694158
"46","file46",0.09300064808814
"47","file47",0.0997868371969091
"48","file48",0.0697993269350617
"49","file49",0.074309033574476
"50","file50",0.0828905022079186
"51","file51",0.0794405594405594
"52","file52",0.0837045478089713
"53","file53",0.0787415730337079
"54","file54",0.0700927474532462
"55","file55",0.217252396166134
"56","file56",0.0728432108027007
"57","file57",0.0880823680823681
"58","file58",0.107014925373134
"59","file59",0.0928287369240079
"60","file60",0.090734920566582
"61","file61",0.0870119603192819
"62","file62",0.0833193549160097
"63","file63",0.0837215238338332
"64","file64",0.0971938301430961
"65","file65",0.0838396111786148
"66","file66",0.0730580185829292
"67","file67",0.0829930966469428
"68","file68",0.0873637564559669
"69","file69",0.0850227778137617
"70","file70",0.0945233869672359
"71","file71",0.109285201149425
"72","file72",0.0897480135785429
"73","file73",0.10019295643385
"74","file74",0.0810700261780105
"75","file75",0.0802754151478331
"76","file76",0.0865529814739789
"77","file77",0.109532220925464
"78","file78",0.104354326975676
"79","file79",0.0914854498193115
"80","file80",0.098174521607204
"81","file81",0.0972663405133437
"82","file82",0.104374095821632
"83","file83",0.104094140720765
"84","file84",0.0974490120083868
"85","file85",0.106678364193255
"86","file86",0.0877824147359332
"87","file87",0.10256891055691
"88","file88",0.0834207214765101
"89","file89",0.0838071909719185
